CUI,CAEN,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33
25252500,6512,311425,69487655,0,0,69487655,,,30377700,15694729,395007,612267,4047394,34083298,38821998,38821998,,167764,55331918,4640750,26806104,0,1585745,0,0,1919338,775121,38805963,38592601,213362,0,213362,0,35
1589754,6511,6766935,124611771,15414743,130242,109066786,,,129727,14229337,498074,9428489,21260222,65734450,54983971,54983971,7884969,1864007,89552210,5677515,12418678,0,0,6235862,0,,,102854955,96641394,6213561,0,4651981,0,493
9100488,6511,3446398,3974953768,0,21644308,1664816968,,2288492492,0,220322768,6729042,64031381,82189315,220542542,120491626,120491626,,24098325,1677818181,43603335,102936045,0,0,80537418,0,,,1267104858,1194641416,72463442,0,60417115,0,350
24870553,6511,11267179,387566863,0,609858,125214224,,261742781,1502743,74635874,1297367,25440950,20524814,55525975,36116500,36116500,,6017714,137882267,2567069,63611962,0,0,10693897,0,,,327861014,314600344,13260670,0,11090232,0,90
18892336,6512,2626768,65114195,0,2901273,62212922,,,43376995,57465155,1004696,41003687,18344948,32038380,84789230,84789230,,14793,131188325,6417945,54975714,0,22406529,0,0,3140928,10295,187263239,205556837,0,18293598,0,18293598,172
38642415,6512,0,116213,0,0,116213,,,35239156,28139278,0,24161104,11965691,-581448,,,,0,70633880,37411,23117272,0,345230,0,0,,,63008499,63365564,0,357065,0,357065,1
24170290,6512,0,1100389,0,0,1100389,0,0,0,5003923,4189,1269528,1235,1147022,0,0,0,0,5242544,126265,801494,1225134,0,0,0,7407,0,11710560,10534007,1176553,0,979350,0,6
39557849,6512,60308,50900,0,50900,0,,,0,74386,36361,925357,468901,87639,,,,0,959106,166023,403445,0,1859335,0,0,,,1597525,3504034,0,1906509,0,1906509,7
24484382,6512,532180,19201698,0,0,19201698,,,0,38426912,64090,13033467,11889589,15991194,,,,0,53798741,0,13358001,9340277,0,0,0,282628,3,88621627,78489143,10132484,0,8347393,0,11
26191737,6512,1382261,306138885,0,233991,305904894,,,37701352,8688469,685231,26401365,8392150,160817679,19341819,19341819,,109747515,173201789,1342272,52315728,37464960,0,0,0,13586740,5597578,108212871,71747871,36465000,0,31243490,0,24
36142529,6512,192,0,0,0,0,0,0,0,11220948,773769,14959315,3138190,-13243670,0,0,0,0,22023009,24356,21288719,761113,0,0,0,0,0,733685,0,733685,0,733685,0,11
24617136,6511,91673,10716163,0,0,10716163,0,,0,12537554,104786,1029242,6983133,-613559,0,0,0,0,15133978,156747,16785385,0,0,1051531,0,0,0,30200165,29259805,940360,0,876626,0,7
24617128,6512,106489,55394338,0,0,55394338,0,0,21721,69160598,740317,4429132,27195898,17995310,0,0,0,0,71914646,564626,66573911,22696551,0,0,0,0,0,146651907,125596500,21055407,0,18104436,0,23
336290,6512,18399471,1251652017,194267028,71536331,964457443,0,21391215,524138666,206582551,1493364,20199609,131998694,412489178,509117257,509117257,127642121,7961924,1153463153,35273529,85197495,0,33805234,0,7106567,42467513,14996461,880980142,917855857,0,36875715,0,36875715,695
28620754,6512,1920586,0,0,0,0,,,30437057,33208797,2001899,1593811,995352,7013148,,,,0,44199153,2483917,15431461,0,11616919,0,0,,,46528789,51418552,0,4889763,0,4889763,248
21178923,6512,6458,2211573,1859682,0,351891,,,28719388,93444787,614588,16570498,1490029,42642980,,,,0,73501639,2460475,24045460,4837667,0,0,0,981135,318191,96679515,86622119,10057396,0,8423908,0,132
21697068,6512,271,48245037,0,1662831,46415398,166808,,19545658,17975502,510059,4828863,6535492,25658617,26721810,26721810,,508770,53308760,2493957,12418238,0,2393227,0,0,1793794,293878,56772973,58429529,0,1656556,0,1656556,78
35383464,6511,50021,1074569059,0,0,667470005,,407099054,1383883,58230005,1433234,31142023,49582690,59785984,,,,0,647280335,3340349,71823002,0,0,29226314,0,,,466456961,436045592,30411369,0,26241105,0,122
35383472,6511,0,56322354,0,0,56322354,,,56461131,3396274,0,8938065,31901084,51251384,,,,0,59499733,0,46267791,3939729,0,0,0,1490410,573951,27539431,21773780,5765651,0,4843147,0,3
6291812,6512,12590944,941763595,69446985,13757811,856553370,0,2005429,71920413,353896763,13725254,10062040,90540246,159183048,122648464,122648464,50099212,15588731,1187499894,46077020,94348577,0,53297826,0,15993078,29770104,1368400,1444477146,1504913352,0,60436206,0,60436206,1434
7804274,6512,0,14892569,14379428,3310,509831,,,0,904624,304589,169696,166201,15249441,9450000,9450000,7442879,384247,404923,16890,368614,373298,0,0,0,59745,,2671357,2618079,53278,0,8842,0,16
38330014,6512,64471,9512258,0,0,9512258,,,4639727,3717598,574091,4813475,68189,8795462,,,,0,7660450,0,6933897,0,1139706,0,0,67023,,7544403,8559133,0,1014730,0,1014730,7
23545104,6511,348504,44934711,0,3439800,41494911,0,0,0,47493295,1004551,1185809,7777303,32851699,65134786,65134786,0,30618,54702990,1034367,9101698,0,0,0,276422,0,0,107608899,106996531,612368,0,612368,0,124
21112449,6511,2588559,76369931,0,0,76369931,,,483855,5272890,626538,2869872,3050126,33410991,14371000,14371000,,2264073,45326502,453857,12077775,0,0,1107594,0,,,26120579,24914402,1206177,0,1030483,0,31
25569690,6511,0,171237413,0,107264,130886888,,40243261,2065741,10749695,282428,9650800,126708382,48323019,75545844,75545844,,424723,220796680,3109423,8602368,0,0,0,18872302,,,61520381,78293495,0,16773114,0,16773114,26
14360018,6512,261284758,1315043708,168603550,72234901,1074205257,,,404472803,454686470,1719106,12442888,170493264,648568555,463807666,463807666,37076404,18961056,1441585481,21851528,302400176,0,3829511,0,0,43392049,21725030,1383965256,1386640558,0,2675302,0,7896303,1131
18066920,6511,3147795,1625248097,0,5995407,983659350,,635593340,22148305,63787675,749612,38575777,50095386,229469904,135642430,135642430,,6836318,747123662,76044801,85930341,0,0,42485300,0,,,451695605,416979893,34715712,0,34715712,0,76
38335135,6512,1413886,11940549,0,11940549,0,,,21029265,21417212,192822,7235417,2799908,271583,,,,0,44487635,22471,19010896,1262240,0,0,0,29657,,39473295,38181398,1291897,0,1115266,0,20
9827029,6511,1945595,84988762,17369177,38939174,28680411,,,32084492,27473988,1370024,2233026,2934893,48629367,28144875,28144875,9273406,25099308,85850696,74775,4795396,0,7715691,0,366303,1532232,13313,79711894,86410261,0,6698367,0,6698367,129
1813613,6512,11600202,539229384,10402259,21184671,507642454,0,0,308181728,143583889,3748453,22115291,39383103,192593894,323800600,323800600,8346191,1307679,561218903,12628194,57713953,0,10075475,0,0,24193461,13170283,665928226,663724650,2203576,0,2203576,0,730
21112430,6512,1714835,24051514,0,0,24051514,,,672994,1568443,506710,892951,736599,23752616,17359008,17359008,,864480,4532142,477444,1128226,0,3668543,0,0,1020950,241565,10488008,13306074,0,2818066,0,2818066,28
12408250,6512,635590,31845714,14395265,1409650,16040799,,,51808351,17462088,225399,6767687,9361807,-17962921,17500000,17500000,2777597,634841,98955052,2110494,31293355,0,22315894,0,0,759838,164932,59578356,77845584,0,18267228,0,18267228,70
10392742,6512,1993007,198933584,89868054,57644461,51421069,,,1402495043,666373068,4877590,621190264,153589478,282291529,93284350,93284350,2138407,148438179,1780134745,2664571,823332297,80081230,0,0,0,19613205,35408840,3341311561,3291982587,49328974,0,41930751,0,374
10509908,6512,321636,104151818,0,61709,104090109,,,5259081,4232982,318781,52430034,10266732,78206114,50000000,50000000,,5199583,65261573,0,33426519,16652700,0,0,0,931345,,67757118,46423863,21333255,0,18306332,0,17
8398697,6511,277764,473676785,54161455,2681712,416621692,0,211926,28681691,16067343,1913307,2564776,3082595,67698488,71000000,71000000,0,2950709,444781939,1026093,8151492,0,10770579,0,4206143,1829956,322825,156313992,171620572,0,15306580,0,15306580,149
29501352,6511,2931421,362234425,36691,0,313652162,,48545572,88251,61457396,634462,2970878,3312851,-37671850,,,,0,367944239,132531,54679192,0,0,0,4937502,,,205712340,210649842,0,4937502,0,4937502,89
2886621,6511,41857782,1119332169,20832087,34098342,1015946162,,48455578,146727263,156245905,5155631,29623924,116630271,388955479,178999222,178999222,21020670,32332193,990353731,43176853,127328376,0,3554253,8000351,0,34192884,5204986,1079752680,1068748735,11003945,0,6643308,0,445
